Case_ID,Product,Folder,Language,Ground_Truth,GT_Support_Status,Strongest_Mechanism,Multiple_Defects_Coexist,Match_Rate_Pct,Mis_Col_Anchor_Break_px,Mis_Residual_Disp_px,Mis_Col_dx_Std,Mis_Direction_Coherence,Mis_Has_Evidence,Ov_Max_Intersection_Area_px2,Ov_Total_Intersection_Area_px2,Ov_Horizontal_Intrusion_px,Ov_Vertical_Intrusion_px,Ov_Gap_Collapse_px,Ov_Has_Evidence,Tr_Verified_Ellipsis_Count,Tr_Max_Overflow_px,Tr_Clipping_Elements_Count,Tr_Container_Accommodated,Tr_Has_Evidence,Un_Genuine_Untrans_Strings,Un_Latin_Words_Preserved,Un_English_Chars_Preserved,Un_Tech_Brand_Tokens,Un_Has_Evidence,HK_Conflict_Count,HK_Has_Evidence
73,Inventor,Inventor-32,DEU,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,False,100.0,0.0,0.0,0.0,0.0,False,0,0,0,0,0,False,0,100,2,0,True,1,1,6,0,False,0,False
74,Inventor,Inventor-35,PLK,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,98.6,2.0,25.0,25.0,0.2,False,0,0,0,0,50,False,3,0,0,0,True,47,62,461,0,True,0,False
75,Vault,Vault-01,CSY,Truncation,PARTIALLY_SUPPORTED,NO_STRONG_OBSERVABLE_DEFECT,False,100.0,1.0,1.41,0.4,0.502,False,0,0,0,0,15,False,0,0,0,0,False,0,0,0,0,False,0,False
76,Vault,Vault-02,FRA,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,86.0,92.09,46.0,-0.04,True,700,3362,64,14,116,True,7,0,0,0,True,2,2,26,0,True,0,False
77,Vault,Vault-03,DEU,Truncation,PARTIALLY_SUPPORTED,BOUNDARY_COLLISION_OVERLAP,True,95.5,0.0,105.04,42.0,-0.11,False,30,30,2,15,104,True,0,0,0,0,False,4,5,43,0,True,0,False
78,Vault,Vault-08,PLK,Truncation,PARTIALLY_SUPPORTED,UNTRANSLATED_USER_FACING_TEXT,False,97.2,2.0,82.3,38.0,-0.214,False,0,0,0,0,34,False,0,0,0,0,False,8,8,106,1,True,0,False
79,Vault,Vault-11,ESP,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,57.0,94.02,52.5,0.305,True,4928,8665,224,22,91,True,2,0,0,13,True,6,9,158,1,True,0,False
80,Vault,Vault-17,ITA,Truncation,PARTIALLY_SUPPORTED,STRUCTURAL_MISALIGNMENT,True,100.0,64.0,64.0,50.0,0.578,True,574,766,96,14,165,True,0,0,0,14,False,2,2,20,0,True,0,False
81,Vault,Vault-20,PLK,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,2.0,126.0,126.0,0.144,False,1008,1280,136,14,172,True,1,450,10,0,True,2,2,20,0,True,0,False
82,Vault,Vault-21,PTB,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,41.0,47.73,44.0,0.554,True,560,880,160,14,133,True,1,460,10,0,True,4,4,60,0,True,0,False
83,Vault,Vault-23,ESP,Truncation,PARTIALLY_SUPPORTED,BOUNDARY_COLLISION_OVERLAP,True,100.0,0.0,3.0,0.0,1.0,False,644,644,46,14,148,True,0,0,0,0,False,1,4,48,0,True,0,False
84,Vault,Vault-24,CHT,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,82.0,277.72,235.0,0.459,True,122757,213436,493,249,259,True,1,0,0,4,True,0,0,0,0,False,0,False
85,Vault,Vault-26,FRA,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,50.0,49.01,28.0,0.832,True,96,108,48,2,48,True,1,0,0,4,True,15,22,328,0,True,0,False
86,Vault,Vault-27,DEU,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,1.0,2.0,0.33,1.0,False,138,224,138,1,0,True,1,0,0,0,True,0,0,0,0,False,0,False
87,Vault,Vault-29,ITA,Truncation,PARTIALLY_SUPPORTED,UNTRANSLATED_USER_FACING_TEXT,False,100.0,0.0,4.0,0.0,1.0,False,0,0,0,0,88,False,0,0,0,0,False,1,5,47,0,True,0,False
88,Vault,Vault-39,DEU,Truncation,PARTIALLY_SUPPORTED,STRUCTURAL_MISALIGNMENT,True,100.0,69.0,34.5,34.5,0.333,True,3560,3560,178,20,185,True,0,0,0,0,False,1,1,49,0,False,0,False
89,Civil3d,Civil3d-02,CHS,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,100.0,2.0,149.0,2.0,0.257,False,800,2840,50,16,1,True,0,0,0,0,False,5,5,25,1,True,0,False
90,Civil3d,Civil3d-07,JPN,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,False,94.1,13.0,64.0,31.0,0.131,False,0,0,0,0,3,False,0,0,0,1,False,1,2,18,0,True,0,False
91,Civil3d,Civil3d-08,DEU,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,False,100.0,45.0,57.43,26.54,0.254,False,0,0,0,0,124,False,0,0,0,0,False,20,52,340,0,True,0,False
92,Civil3d,Civil3d-11,ITA,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,98.4,2.0,161.82,73.78,0.494,False,3852,9022,214,18,143,True,0,0,0,0,False,5,10,53,2,True,0,False
93,Civil3d,Civil3d-24,KOR,Untranslation,UNSUPPORTED,BOUNDARY_COLLISION_OVERLAP,False,84.6,0.0,1.12,1.0,-0.28,False,738,1422,41,18,106,True,0,0,0,0,False,0,0,0,0,False,0,False
94,Civil3d,Civil3d-25,JPN,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,100.0,54.0,96.08,45.25,-0.159,True,756,2245,369,14,2,True,2,264,1,0,True,11,21,137,0,True,0,False
95,Civil3d,Civil3d-31,CHT,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,100.0,1.0,10.2,0.5,0.519,False,0,0,0,0,16,False,3,0,0,0,True,21,27,180,0,True,0,False
96,Civil3d,Civil3d-34,CHS,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,93.3,32.0,48.27,14.85,0.021,False,11144,15165,398,28,15,True,0,0,0,0,False,6,25,187,0,True,0,False
97,Civil3d,Civil3d-35,ESP,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,100.0,222.0,226.0,67.91,0.192,False,924,1784,66,14,130,True,0,0,0,0,False,6,11,125,1,True,0,False
98,Inventor,Inventor-04,KOR,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,91.7,463.0,330.0,273.0,0.086,True,3657,29918,317,40,267,True,3,545,3,0,True,3,6,78,0,True,0,False
99,Inventor,Inventor-06,PTB,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,100.0,147.0,147.0,44.63,0.718,True,1785,3216,105,19,197,True,11,0,0,0,True,16,27,209,5,True,0,False
100,Inventor,Inventor-09,DEU,Untranslation,PARTIALLY_SUPPORTED,NO_STRONG_OBSERVABLE_DEFECT,False,98.0,12.0,12.17,6.69,0.709,False,0,0,0,0,46,False,0,0,0,0,False,1,1,8,4,False,0,False
101,Inventor,Inventor-13,RUS,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,100.0,2.0,3.16,0.68,1.0,False,0,0,0,0,6,False,0,221,3,0,True,37,43,405,4,True,0,False
102,Inventor,Inventor-16,JPN,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,100.0,78.0,122.15,31.1,0.712,False,1500,2256,75,20,5,True,0,278,1,0,True,4,4,28,0,True,0,False
103,Inventor,Inventor-22,KOR,Untranslation,DIRECTLY_SUPPORTED,PRESERVED_USER_FACING_ENGLISH,True,86.2,626.0,490.37,235.84,0.053,True,4300,26809,190,43,309,True,0,0,0,0,False,11,20,249,0,True,0,False
